,Current,Next,Q value,Data #'s
0,episode:500,-,-,-
1,0.0,1.0,18.689353315425638,143.0
2,0.0,2.0,15.665382923438822,144.0
3,0.0,3.0,18.0002202266822,143.0
4,0.0,4.0,24.247691264914913,143.0
5,0.0,5.0,16.18662570815374,143.0
6,0.0,6.0,16.46010272318319,142.0
7,0.0,7.0,15.26320871161504,142.0
8,1.0,0.0,15.925879257443524,85.0
9,1.0,2.0,16.306169089897228,59.0
10,1.0,3.0,17.932185629968025,50.0
11,1.0,4.0,15.97398653887203,71.0
12,1.0,5.0,18.95308279265774,41.0
13,1.0,6.0,17.67443210269464,60.0
14,1.0,7.0,18.945503846640452,50.0
15,2.0,0.0,18.646296000673935,125.0
16,2.0,1.0,19.27773735166442,58.0
17,2.0,3.0,15.901867327679707,47.0
18,2.0,4.0,15.287091171346088,55.0
19,2.0,5.0,16.699868129236222,52.0
20,2.0,6.0,15.55738881824676,38.0
21,2.0,7.0,19.290702948186947,49.0
22,3.0,0.0,18.481000227640813,61.0
23,3.0,1.0,18.778200594720104,72.0
24,3.0,2.0,16.103597232961757,61.0
25,3.0,4.0,15.527411858491863,59.0
26,3.0,5.0,15.890258264684812,58.0
27,3.0,6.0,20.809697164176804,64.0
28,3.0,7.0,17.55297913833975,67.0
29,4.0,0.0,15.042528863869487,59.0
30,4.0,1.0,14.08483268502813,55.0
31,4.0,2.0,20.160794570103775,53.0
32,4.0,3.0,22.562720304937372,68.0
33,4.0,5.0,18.18786570498186,62.0
34,4.0,6.0,14.215388046014793,66.0
35,4.0,7.0,20.710614245243445,65.0
36,5.0,0.0,18.376392280528922,76.0
37,5.0,1.0,23.966118485465497,47.0
38,5.0,2.0,20.993386934328356,58.0
39,5.0,3.0,18.811133800624123,69.0
40,5.0,4.0,14.14994828649936,55.0
41,5.0,6.0,12.97555245289541,58.0
42,5.0,7.0,17.38983529180922,67.0
43,6.0,0.0,17.489406843254315,47.0
44,6.0,1.0,17.39167831931882,63.0
45,6.0,2.0,16.61750973101965,67.0
46,6.0,3.0,15.006957564920977,54.0
47,6.0,4.0,14.50814806888545,55.0
48,6.0,5.0,20.757293023959516,79.0
49,6.0,7.0,12.795868452452796,60.0
50,7.0,0.0,16.430228911611877,47.0
51,7.0,1.0,16.14177453332128,62.0
52,7.0,2.0,14.663488302743222,58.0
53,7.0,3.0,16.317671810637385,69.0
54,7.0,4.0,15.995780822413659,62.0
55,7.0,5.0,17.708242283330254,65.0
56,7.0,6.0,18.70847717675046,72.0
